ID;Name
3888;Afghanistan
1325;Algeriet
3865;Australien
3874;Bahrain
1304;Belgien
3902;Brasilien
1305;Bulgarien
3906;Burundi
3867;Canada
3910;Colombia
3911;Costa Rica
3897;Cote D'Ivoire (Elfenbenskysten)
1383;Cypern
19;Danmark
3871;Djibouti
3878;Dubai
3898;Ecuador
3872;Egypten
1320;England
3886;Estland
3904;Ethiopien
3876;Filippinerne
1301;Finland
1377;Forenede Arabiske Emirater
1306;Frankrig
3905;Frankrig ? Saint Pierre et Miquelon
3891;Fërõerne
3893;Ghana
3909;Gibraltar
1307;Grëkenland
3903;Guadeloupe
1308;Holland
3882;Hong Kong
3866;Indien
1387;Irak
1388;Iran
1310;Irland
1302;Island
1389;Israel
1311;Italien
3912;Japan
3880;Kina
3890;Kroatien
1396;Kuwait
3862;Letland
1398;Libanon
3894;Liberia
3863;Litauen
1313;Luxembourg
3868;Malta
1347;Marocco
3884;Mozambique
3892;Nigeria
3864;Nordirland
1303;Norge
3877;Oman
1404;Pakistan
3899;Panama
1314;Polen
1315;Portugal
3879;Qatar
1316;Rumënien
3908;Rusland
1407;Saudi-Arabien
1317;Schweiz
3896;Senegal
3895;Sierra Leone
3889;Singapore
3869;Skotland
3870;Slovakiet
3875;Slovenien
1355;Spanien
3901;Suriname
20;Sverige
3885;Sydafrika
1410;Syrien
2457;Taiwan
3907;Tanzania
3887;Tjekkiet
1319;Tyrkiet
1249;Tyskland
1359;U.S.A.
1321;Ungarn
3900;Uruguay
3881;Vietnam
3883;Zambia
1323;ùstrig
